generation,avg_survival,n1_weight_mag,n2_weight_mag
902,20,0.0000,0.0000
903,19,0.0000,0.0000
904,19,0.0000,0.0000
905,20,0.0000,0.0000
906,18,0.0000,0.0000
907,18,0.0000,0.0000
908,20,0.0000,0.0000
909,20,0.0000,0.0000
910,20,0.0000,0.0000
911,19,0.0000,0.0000
912,20,0.0000,0.0000
913,20,0.0000,0.0000
914,20,0.0000,0.0000
915,20,0.0000,0.0000
916,20,0.0000,0.0000
917,20,0.0000,0.0000
918,19,0.0000,0.0000
919,19,0.0000,0.0000
920,18,0.0000,0.0000
921,18,0.0000,0.0000
922,18,0.0000,0.0000
923,19,0.0000,0.0000
924,19,0.0000,0.0000
925,18,0.0000,0.0000
926,19,0.0000,0.0000
927,18,0.0000,0.0000
928,19,0.0000,0.0000
929,19,0.0000,0.0000
930,19,0.0000,0.0000
931,19,0.0000,0.0000
932,19,0.0000,0.0000
933,19,0.0000,0.0000
934,18,0.0000,0.0000
935,19,0.0000,0.0000
936,18,0.0000,0.0000
937,19,0.0000,0.0000
938,19,0.0000,0.0000
939,19,0.0000,0.0000
940,19,0.0000,0.0000
941,18,0.0000,0.0000
942,19,0.0000,0.0000
943,19,0.0000,0.0000
944,19,0.0000,0.0000
945,20,0.0000,0.0000
946,21,0.0000,0.0000
947,19,0.0000,0.0000
948,19,0.0000,0.0000
949,19,0.0000,0.0000
950,19,0.0000,0.0000
951,19,0.0000,0.0000
952,18,0.0000,0.0000
953,18,0.0000,0.0000
954,19,0.0000,0.0000
955,20,0.0000,0.0000
956,20,0.0000,0.0000
957,19,0.0000,0.0000
958,18,0.0000,0.0000
959,18,0.0000,0.0000
960,19,0.0000,0.0000
961,19,0.0000,0.0000
962,18,0.0000,0.0000
963,20,0.0000,0.0000
964,19,0.0000,0.0000
965,19,0.0000,0.0000
966,19,0.0000,0.0000
967,19,0.0000,0.0000
968,19,0.0000,0.0000
969,18,0.0000,0.0000
970,19,0.0000,0.0000
971,19,0.0000,0.0000
972,19,0.0000,0.0000
973,20,0.0000,0.0000
974,20,0.0000,0.0000
975,19,0.0000,0.0000
976,20,0.0000,0.0000
977,19,0.0000,0.0000
978,19,0.0000,0.0000
979,20,0.0000,0.0000
980,19,0.0000,0.0000
981,19,0.0000,0.0000
982,19,0.0000,0.0000
983,19,0.0000,0.0000
984,20,0.0000,0.0000
985,19,0.0000,0.0000
986,18,0.0000,0.0000
987,20,0.0000,0.0000
988,18,0.0000,0.0000
989,19,0.0000,0.0000
990,19,0.0000,0.0000
