generation,avg_survival,n1_weight_mag,n2_weight_mag
2579,45,5.9090,8.3466
2580,44,5.9337,8.3408
2581,44,5.9281,8.3432
2582,44,5.9149,8.3421
2583,44,5.9175,8.3452
2584,43,5.7520,8.4586
2585,43,5.7406,8.4573
2586,43,5.7313,8.4563
2587,43,5.7236,8.4554
2588,43,5.7168,8.4546
2589,44,5.8033,8.6159
2590,44,5.8071,8.6134
2591,44,5.8161,8.6122
2592,44,5.7918,8.6148
2593,44,5.7794,8.6108
2594,45,5.9413,8.1419
2595,44,5.9348,8.1418
2596,45,5.9330,8.1415
2597,44,5.9309,8.1413
2598,44,5.9279,8.1414
2599,45,5.9903,8.6689
2600,44,5.9683,8.6704
2601,45,5.9539,8.6721
2602,45,5.9494,8.6662
2603,44,5.9469,8.6648
2604,45,6.0066,8.5404
2605,45,6.0025,8.5377
2606,45,6.0002,8.5366
2607,44,5.9993,8.5355
2608,44,5.9986,8.5344
2609,45,5.9424,8.4851
2610,44,5.9334,8.4810
2611,44,5.9045,8.4776
2612,44,5.9049,8.4725
2613,45,5.8901,8.4727
2614,42,5.8436,8.4925
2615,43,5.8287,8.4921
2616,43,5.8235,8.4916
2617,44,5.8208,8.4911
2618,44,5.8188,8.4908
2619,45,6.0013,8.4548
2620,45,5.9899,8.4490
2621,45,5.9779,8.4467
2622,45,5.9708,8.4458
2623,45,5.9679,8.4449
2624,44,6.0045,8.4399
2625,42,6.0073,8.4299
2626,42,6.0109,8.4272
2627,43,6.0149,8.4264
2628,44,6.0204,8.4259
2629,45,5.7871,8.4840
2630,45,5.7937,8.4811
2631,43,5.7800,8.4804
2632,44,5.7714,8.4783
2633,43,5.7695,8.4790
2634,45,6.0389,8.3699
2635,45,6.0257,8.3692
2636,45,6.0172,8.3681
2637,45,6.0116,8.3668
2638,45,5.9780,8.3648
2639,42,5.8812,8.5167
2640,40,5.8576,8.5081
2641,40,5.8474,8.5039
2642,40,5.8435,8.5019
2643,40,5.8426,8.5007
2644,44,6.0681,8.4654
2645,44,6.0558,8.4655
2646,44,6.0494,8.4649
2647,45,6.0449,8.4644
2648,45,6.0416,8.4638
2649,44,6.0198,8.6388
2650,44,6.0232,8.6355
2651,44,6.0229,8.6333
2652,44,6.0195,8.6322
2653,44,6.0166,8.6311
2654,44,5.8700,8.4445
2655,44,5.8668,8.4409
2656,45,5.8706,8.4345
2657,45,5.8721,8.4290
2658,45,5.8680,8.4270
2659,44,5.9357,8.5855
2660,43,5.9207,8.5800
2661,44,5.9134,8.5767
2662,44,5.9086,8.5729
2663,43,5.9044,8.5682
2664,44,6.0148,8.4013
2665,45,5.9981,8.4000
2666,43,5.9857,8.3986
2667,44,5.9759,8.3972
2668,44,5.9681,8.3962
2669,45,5.9435,8.5050
2670,44,5.9457,8.5015
2671,40,5.9226,8.4950
2672,41,5.9133,8.4946
2673,43,5.8831,8.4921
2674,44,5.8935,8.5309
2675,44,5.8883,8.5244
2676,44,5.8823,8.5205
2677,43,5.8765,8.5180
2678,44,5.8705,8.5161
2679,43,6.1604,8.4051
2680,43,6.1519,8.4023
2681,43,6.1446,8.4000
2682,43,6.1361,8.3985
2683,43,6.1258,8.3972
2684,44,5.8718,8.5052
2685,43,5.8568,8.5032
2686,44,5.8475,8.5020
2687,43,5.8394,8.5017
2688,43,5.8322,8.5019
2689,44,5.9938,8.3526
2690,44,5.9771,8.3516
2691,44,5.9659,8.3494
2692,43,5.9577,8.3474
2693,43,5.9509,8.3458
2694,45,5.8911,8.5549
2695,44,5.8949,8.5535
2696,45,5.8962,8.5525
2697,45,5.8955,8.5519
2698,46,5.8940,8.5516
2699,45,5.9964,8.5941
2700,45,5.9854,8.5895
